,features_of_metrics,S001C,S002C,S002I,S003I,S005I,S001S,S004S,S009S
25,angl_head_inclination_energy,(5150.994317495727+0j),(5796.989350416448+0j),(4841.949055494453+0j),(5170.69720776608+0j),(5205.662432230724+0j),(5749.326399137723+0j),(4820.805443634597+0j),(7696.347237033519+0j)
26,angl_head_inclination_iqr,(5.1907127291476485+0j),(3.393235126430497+0j),(4.620856878568773+0j),(6.149176026648959+0j),(6.037533268737519+0j),(5.18902388806363+0j),(1.9585865278743313+0j),(15.815562496331253+0j)
27,angl_head_inclination_entropy,(5.722229006993177+0j),(5.723011250401793+0j),(5.72263809270876+0j),(5.702484726074625+0j),(5.722503555950054+0j),(5.721481273490285+0j),(5.70350229837562+0j),(5.697084350823944+0j)
28,angl_head_inclination_correlation,(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j)
29,angl_head_inclination_kurtosis,(-0.5653517233836429+0j),(-0.4192669510208282+0j),(-0.5531889006379287+0j),(-0.9704342323567596+0j),(-0.9677149277825414+0j),(5.695857129855291+0j),(0.20127558952495717+0j),(-0.4887484630154151+0j)
30,angl_head_inclination_skewness,(-0.004521012411118545+0j),(0.8107438803404685+0j),(0.7882396426404196+0j),(-0.15436597382843625+0j),(-0.1560538238310845+0j),(1.8128254410966955+0j),(0.4734350330158994+0j),(0.07241197231959955+0j)
31,angl_head_inclination_maxFreqCompInd,0j,0j,0j,0j,0j,0j,0j,0j
32,angl_head_inclination_maxFreqComp,(21932.064152765368-0j),(23284.741032843664-0j),(21272.384937349674-0j),(21544.42430281954-0j),(22054.21989574399-0j),(23151.853610887163-0j),(20823.752409971938-0j),(26144.6328272115-0j)
33,angl_head_inclination_meanFreq,(61.13559216498537-7.430512269386669e-16j),(77.02919068043293-1.4861024538773338e-15j),(67.03793133991236+0j),(63.454470810633225+7.579122514774402e-16j),(61.87201111185508+7.430512269386669e-16j),(65.75402815670384-2.7864421010200007e-16j),(69.83773163112865+0j),(58.46729492955129+6.063298011819522e-15j)
34,angl_head_inclination_skewnessFreq,(17.448001995988797+1.8724941130731774e-19j),(17.417446320463377+4.7740630081451955e-18j),(17.37240042108767-1.6788985417727437e-18j),(17.220902819619333-1.812277126841232e-18j),(17.441595020899715-4.907627978440637e-18j),(17.413912092081205+2.096976357792824e-18j),(17.23231036519823-4.351611051509749e-19j),(17.191320251192167-2.910533236921395e-17j)
35,angl_head_inclination_kurtosisFreq,(301.95362891581425+4.396007380271077e-18j),(301.2447973665578+1.1071293089951681e-16j),(300.21441707879853-3.9070881040337375e-17j),(294.7131221752424-4.20735676780331e-17j),(301.79017509705426-1.144094016707392e-16j),(301.1662510205109+4.779212453336826e-17j),(294.96940075095455-1.0032584429057978e-17j),(294.0569039258275-6.808286651095003e-16j)
36,angl_head_inclination_median,(71.63991128984853+0j),(75.34133292511842+0j),(68.29366419855135+0j),(72.51625307646279+0j),(72.35318915272126+0j),(74.29939856781226+0j),(69.38909303240672+0j),(86.31940385914126+0j)
37,angl_head_inclination_peak_count,(36+0j),(46+0j),(34+0j),(43+0j),(30+0j),(50+0j),(38+0j),(35+0j)
